Component,Evaluation_Set,Sample_Size,Accuracy_or_TPR,Macro_Precision,Macro_Recall,Macro_F1,OOD_Rejection_Rate,Notes
MobileNetV2,Internal Test (Dataset 01),129,93.02%,93.89%,93.02%,93.09%,N/A,Pretrained backbone + Dropout(0.3) + Linear(1280->4)
EfficientNet-B0,Internal Test (Dataset 01),129,99.22%,99.25%,99.22%,99.23%,N/A,Pretrained backbone + Dropout(0.3) + Linear(1280->4)
Hybrid Ensemble (alpha=0.50),Internal Test (Dataset 01),129,99.22%,99.25%,99.22%,99.23%,N/A,Late-fusion soft-voting: 0.50*P_Eff + 0.50*P_Mob (Identical metrics to EffNet-B0)
Mahalanobis OOD Safeguard (In-Domain),Validation Set (Dataset 01),130,97.69%,N/A,N/A,N/A,N/A,Calibrated on Validation set at tau_98 = 61.97 (3/130 false rejections)
Mahalanobis OOD Safeguard (Far-OOD),Far-OOD Benchmark,40,N/A,N/A,N/A,N/A,100.00%,100% rejection on Anime (10/10) UI (10/10) Faces (10/10) Objects (10/10)
Mahalanobis OOD Safeguard (Near-OOD),Near-OOD Botanicals,10,N/A,N/A,N/A,N/A,60.00%,6/10 rejected; 4 false acceptances on autumn leaves & bark textures
Mahalanobis OOD Safeguard (Total),OOD Total Benchmark,50,N/A,N/A,N/A,N/A,92.00%,46/50 total benchmark rejection rate
